,DistCode,District,Subdivision,PersonName,Gender,Age,WorkerType,RegisteredYesNo,Registered2017,Registered2016
0,AD,Alipurduar,Alipurduar,ckiIb,Male,37,Other,Yes,No,No
1,AD,Alipurduar,Alipurduar,TzSMhl,Male,46,Other,Yes,Yes,Yes
2,AD,Alipurduar,Alipurduar,vqUP,Female,35,Other,Yes,No,No
3,AD,Alipurduar,Alipurduar,tkFhvX,Male,29,Other,Yes,Yes,No
4,AD,Alipurduar,Alipurduar,pReMk,Female,30,Construction,Yes,Yes,No
5,AD,Alipurduar,Alipurduar,bBrjob,Female,35,Other,Yes,Yes,Yes
6,AD,Alipurduar,Alipurduar,ryhry,Male,39,Other,Yes,No,No
7,AD,Alipurduar,Alipurduar,fCeGD,Female,41,Transport,Yes,No,No
8,AD,Alipurduar,Alipurduar,NYVu,Male,42,Construction,Yes,Yes,Yes
9,AD,Alipurduar,Alipurduar,vGqqL,Female,45,Other,Yes,Yes,Yes
10,AD,Alipurduar,Alipurduar,Iujfw,Female,36,Construction,Yes,Yes,No
11,AD,Alipurduar,Alipurduar,VUrsOE,Male,29,Other,Yes,Yes,Yes
12,AD,Alipurduar,Alipurduar,SlnQ,Female,43,Other,Yes,No,No
13,AD,Alipurduar,Alipurduar,MtSa,Male,24,Other,Yes,No,No
14,AD,Alipurduar,Alipurduar,IGhmcp,Female,54,Construction,Yes,No,No
15,AD,Alipurduar,Alipurduar,uxyH,Female,63,Other,Yes,Yes,Yes
16,AD,Alipurduar,Alipurduar,xSuBx,Female,39,Other,Yes,Yes,Yes
17,AD,Alipurduar,Alipurduar,GoqwW,Female,27,Other,Yes,Yes,Yes
18,AD,Alipurduar,Alipurduar,ZcZbhx,Female,32,Other,Yes,Yes,Yes
19,AD,Alipurduar,Alipurduar,zbunC,Male,22,Other,Yes,Yes,Yes
20,AD,Alipurduar,Alipurduar,spqK,Male,46,Construction,Yes,Yes,Yes
21,AD,Alipurduar,Alipurduar,FjAs,Male,28,Other,No,No,No
22,AD,Alipurduar,Alipurduar,KwBQBX,Female,58,Other,Yes,Yes,No
23,AD,Alipurduar,Alipurduar,sBXOW,Female,36,Other,Yes,Yes,Yes
24,AD,Alipurduar,Alipurduar,dBpt,Female,56,Other,Yes,Yes,Yes
25,AD,Alipurduar,Alipurduar,GumJE,Male,27,Transport,Yes,Yes,No
26,AD,Alipurduar,Alipurduar,UGzqt,Female,49,Other,No,Yes,Yes
27,AD,Alipurduar,Alipurduar,XigT,Male,32,Transport,Yes,Yes,No
28,AD,Alipurduar,Alipurduar,fbWNtf,Female,50,Other,Yes,No,No
29,AD,Alipurduar,Alipurduar,SiopjT,Female,25,Other,Yes,Yes,No
30,AD,Alipurduar,Alipurduar,BXsech,Female,33,Transport,Yes,Yes,Yes
31,AD,Alipurduar,Alipurduar,IVCb,Female,31,Other,Yes,Yes,Yes
32,AD,Alipurduar,Alipurduar,rUWY,Female,33,Transport,Yes,Yes,Yes
33,AD,Alipurduar,Alipurduar,YAivZi,Male,35,Other,Yes,Yes,No
34,AD,Alipurduar,Alipurduar,nCGM,Female,34,Transport,Yes,No,No
35,AD,Alipurduar,Alipurduar,kkbkr,Female,42,Other,No,No,No
36,AD,Alipurduar,Alipurduar,bOyD,Female,24,Other,No,No,No
37,AD,Alipurduar,Alipurduar,bIzmte,Male,44,Other,Yes,Yes,No
38,AD,Alipurduar,Alipurduar,cEDeb,Male,37,Transport,Yes,No,No
39,AD,Alipurduar,Alipurduar,VFigYB,Female,60,Other,Yes,Yes,No
40,AD,Alipurduar,Alipurduar,BIEn,Female,48,Construction,Yes,Yes,No
41,AD,Alipurduar,Alipurduar,qfNYvZ,Male,42,Transport,Yes,Yes,Yes
42,AD,Alipurduar,Alipurduar,EKEIFz,Female,18,Other,No,No,No
43,AD,Alipurduar,Alipurduar,xDWrdL,Female,46,Other,Yes,Yes,Yes
44,AD,Alipurduar,Alipurduar,wzNw,Male,34,Other,Yes,Yes,Yes
45,AD,Alipurduar,Alipurduar,LXhEa,Male,22,Other,No,No,No
46,AD,Alipurduar,Alipurduar,tVBlDz,Male,54,Other,No,No,No
47,AD,Alipurduar,Alipurduar,ZEnFjH,Female,41,Other,Yes,Yes,No
48,AD,Alipurduar,Alipurduar,FbdoT,Male,33,Other,Yes,Yes,Yes
49,AD,Alipurduar,Alipurduar,GWnW,Male,58,Other,Yes,No,No
50,AD,Alipurduar,Alipurduar,KBAIqY,Female,35,Other,Yes,No,No
51,AD,Alipurduar,Alipurduar,USANeu,Male,44,Construction,Yes,Yes,Yes
52,AD,Alipurduar,Alipurduar,eeBY,Female,45,Construction,Yes,Yes,Yes
53,AD,Alipurduar,Alipurduar,LxcBB,Female,27,Other,Yes,Yes,Yes
54,AD,Alipurduar,Alipurduar,LFvj,Male,44,Transport,Yes,No,No
55,AD,Alipurduar,Alipurduar,FRSL,Female,37,Transport,Yes,Yes,Yes
56,AD,Alipurduar,Alipurduar,BUCr,Male,61,Construction,No,No,Yes
57,AD,Alipurduar,Alipurduar,xByjAV,Female,27,Other,Yes,Yes,No
58,AD,Alipurduar,Alipurduar,HHVkLH,Male,44,Transport,Yes,Yes,Yes
